,millis,ssm,system:index,date
147,1466078400000,28.019094046522255,NASA_USDA_SMAP_SM20160616_20160618,2016-06-16 12:00:00
148,1466337600000,26.481247384816456,NASA_USDA_SMAP_SM20160619_20160621,2016-06-19 12:00:00
149,1466596800000,33.8666627118807,NASA_USDA_SMAP_SM20160622_20160624,2016-06-22 12:00:00
150,1466856000000,36.46752817873475,NASA_USDA_SMAP_SM20160625_20160627,2016-06-25 12:00:00
151,1467115200000,57.653368328779955,NASA_USDA_SMAP_SM20160628_20160630,2016-06-28 12:00:00
152,1467374400000,153.22567690114246,NASA_USDA_SMAP_SM20160701_20160703,2016-07-01 12:00:00
153,1467633600000,79.37289729334388,NASA_USDA_SMAP_SM20160704_20160706,2016-07-04 12:00:00
154,1467892800000,70.72404611417667,NASA_USDA_SMAP_SM20160707_20160709,2016-07-07 12:00:00
155,1468152000000,51.99879041205858,NASA_USDA_SMAP_SM20160710_20160712,2016-07-10 12:00:00
156,1468411200000,43.072971392974885,NASA_USDA_SMAP_SM20160713_20160715,2016-07-13 12:00:00
157,1468670400000,44.015751428442144,NASA_USDA_SMAP_SM20160716_20160718,2016-07-16 12:00:00
158,1468929600000,76.58139397349076,NASA_USDA_SMAP_SM20160719_20160721,2016-07-19 12:00:00
159,1469188800000,67.37249145509745,NASA_USDA_SMAP_SM20160722_20160724,2016-07-22 12:00:00
160,1469448000000,85.5903002248068,NASA_USDA_SMAP_SM20160725_20160727,2016-07-25 12:00:00
161,1469707200000,82.34757631020956,NASA_USDA_SMAP_SM20160728_20160730,2016-07-28 12:00:00
162,1469966400000,146.69402976317807,NASA_USDA_SMAP_SM20160731_20160802,2016-07-31 12:00:00
163,1470225600000,211.10899298660652,NASA_USDA_SMAP_SM20160803_20160805,2016-08-03 12:00:00
164,1470484800000,173.61795308548975,NASA_USDA_SMAP_SM20160806_20160808,2016-08-06 12:00:00
165,1470744000000,178.16062336742834,NASA_USDA_SMAP_SM20160809_20160811,2016-08-09 12:00:00
166,1471003200000,160.61553283180425,NASA_USDA_SMAP_SM20160812_20160814,2016-08-12 12:00:00
167,1471262400000,141.43088623817889,NASA_USDA_SMAP_SM20160815_20160817,2016-08-15 12:00:00
168,1471521600000,140.45772655526034,NASA_USDA_SMAP_SM20160818_20160820,2016-08-18 12:00:00
169,1471780800000,158.8127783277035,NASA_USDA_SMAP_SM20160821_20160823,2016-08-21 12:00:00
170,1472040000000,143.3341839124671,NASA_USDA_SMAP_SM20160824_20160826,2016-08-24 12:00:00
171,1472299200000,150.41139034417296,NASA_USDA_SMAP_SM20160827_20160829,2016-08-27 12:00:00
172,1472558400000,137.00976920003146,NASA_USDA_SMAP_SM20160830_20160901,2016-08-30 12:00:00
173,1472817600000,142.91068227793184,NASA_USDA_SMAP_SM20160902_20160904,2016-09-02 12:00:00
174,1473076800000,144.02038922660466,NASA_USDA_SMAP_SM20160905_20160907,2016-09-05 12:00:00
175,1473336000000,137.1989876108591,NASA_USDA_SMAP_SM20160908_20160910,2016-09-08 12:00:00
176,1473595200000,130.13911194234979,NASA_USDA_SMAP_SM20160911_20160913,2016-09-11 12:00:00
177,1473854400000,137.56812105092078,NASA_USDA_SMAP_SM20160914_20160916,2016-09-14 12:00:00
178,1474113600000,102.1396204383958,NASA_USDA_SMAP_SM20160917_20160919,2016-09-17 12:00:00
179,1474372800000,111.0904528169595,NASA_USDA_SMAP_SM20160920_20160922,2016-09-20 12:00:00
180,1474632000000,107.13516538544712,NASA_USDA_SMAP_SM20160923_20160925,2016-09-23 12:00:00
181,1474891200000,119.55859664809397,NASA_USDA_SMAP_SM20160926_20160928,2016-09-26 12:00:00
182,1475150400000,150.26619983459454,NASA_USDA_SMAP_SM20160929_20161001,2016-09-29 12:00:00
183,1475409600000,143.9039928536732,NASA_USDA_SMAP_SM20161002_20161004,2016-10-02 12:00:00
184,1475668800000,124.18767698673368,NASA_USDA_SMAP_SM20161005_20161007,2016-10-05 12:00:00
185,1475928000000,142.51981475892003,NASA_USDA_SMAP_SM20161008_20161010,2016-10-08 12:00:00
186,1476187200000,112.53610046849975,NASA_USDA_SMAP_SM20161011_20161013,2016-10-11 12:00:00
187,1476446400000,104.68431458715652,NASA_USDA_SMAP_SM20161014_20161016,2016-10-14 12:00:00
188,1476705600000,91.58815639476148,NASA_USDA_SMAP_SM20161017_20161019,2016-10-17 12:00:00
189,1476964800000,84.62522389351076,NASA_USDA_SMAP_SM20161020_20161022,2016-10-20 12:00:00
190,1477224000000,86.92031275230032,NASA_USDA_SMAP_SM20161023_20161025,2016-10-23 12:00:00
191,1477483200000,79.77280903024555,NASA_USDA_SMAP_SM20161026_20161028,2016-10-26 12:00:00
192,1477742400000,73.10347413305382,NASA_USDA_SMAP_SM20161029_20161031,2016-10-29 12:00:00
193,1478001600000,83.61577682418465,NASA_USDA_SMAP_SM20161101_20161103,2016-11-01 12:00:00
194,1478260800000,124.5034790668717,NASA_USDA_SMAP_SM20161104_20161106,2016-11-04 12:00:00
195,1478520000000,103.30292020654622,NASA_USDA_SMAP_SM20161107_20161109,2016-11-07 12:00:00
196,1478779200000,99.15590004092802,NASA_USDA_SMAP_SM20161110_20161112,2016-11-10 12:00:00
197,1479038400000,91.86970204832487,NASA_USDA_SMAP_SM20161113_20161115,2016-11-13 12:00:00
198,1479297600000,84.87640686989926,NASA_USDA_SMAP_SM20161116_20161118,2016-11-16 12:00:00
199,1479556800000,118.85648273465326,NASA_USDA_SMAP_SM20161119_20161121,2016-11-19 12:00:00
200,1479816000000,128.05478330401283,NASA_USDA_SMAP_SM20161122_20161124,2016-11-22 12:00:00
201,1480075200000,119.79290474540709,NASA_USDA_SMAP_SM20161125_20161127,2016-11-25 12:00:00
202,1480334400000,155.5388073057359,NASA_USDA_SMAP_SM20161128_20161130,2016-11-28 12:00:00
203,1480593600000,132.91554993468816,NASA_USDA_SMAP_SM20161201_20161203,2016-12-01 12:00:00
204,1480852800000,124.95091178100198,NASA_USDA_SMAP_SM20161204_20161206,2016-12-04 12:00:00
205,1481112000000,118.60465995680336,NASA_USDA_SMAP_SM20161207_20161209,2016-12-07 12:00:00
206,1481371200000,110.12418163030651,NASA_USDA_SMAP_SM20161210_20161212,2016-12-10 12:00:00
207,1481630400000,104.55485280093836,NASA_USDA_SMAP_SM20161213_20161215,2016-12-13 12:00:00
208,1481889600000,181.76942909584537,NASA_USDA_SMAP_SM20161216_20161218,2016-12-16 12:00:00
209,1482148800000,141.6146819938581,NASA_USDA_SMAP_SM20161219_20161221,2016-12-19 12:00:00
210,1482408000000,226.69431215057668,NASA_USDA_SMAP_SM20161222_20161224,2016-12-22 12:00:00
211,1482667200000,224.54879478518902,NASA_USDA_SMAP_SM20161225_20161227,2016-12-25 12:00:00
212,1482926400000,201.5772331994144,NASA_USDA_SMAP_SM20161228_20161230,2016-12-28 12:00:00
213,1483185600000,242.92410620230206,NASA_USDA_SMAP_SM20161231_20170102,2016-12-31 12:00:00
214,1483444800000,221.0231176383675,NASA_USDA_SMAP_SM20170103_20170105,2017-01-03 12:00:00
215,1483704000000,221.2647954314168,NASA_USDA_SMAP_SM20170106_20170108,2017-01-06 12:00:00
216,1483963200000,209.42747869027144,NASA_USDA_SMAP_SM20170109_20170111,2017-01-09 12:00:00
217,1484222400000,207.3889842434122,NASA_USDA_SMAP_SM20170112_20170114,2017-01-12 12:00:00
218,1484481600000,231.07941831141565,NASA_USDA_SMAP_SM20170115_20170117,2017-01-15 12:00:00
219,1484740800000,225.15806680651937,NASA_USDA_SMAP_SM20170118_20170120,2017-01-18 12:00:00
220,1485000000000,246.8538678077897,NASA_USDA_SMAP_SM20170121_20170123,2017-01-21 12:00:00
221,1485259200000,243.5161919632886,NASA_USDA_SMAP_SM20170124_20170126,2017-01-24 12:00:00
222,1485518400000,231.78749878547217,NASA_USDA_SMAP_SM20170127_20170129,2017-01-27 12:00:00
223,1485777600000,215.67182273833876,NASA_USDA_SMAP_SM20170130_20170201,2017-01-30 12:00:00
224,1486036800000,199.2193895878141,NASA_USDA_SMAP_SM20170202_20170204,2017-02-02 12:00:00
225,1486296000000,184.2880587175957,NASA_USDA_SMAP_SM20170205_20170207,2017-02-05 12:00:00
226,1486555200000,169.85251545917347,NASA_USDA_SMAP_SM20170208_20170210,2017-02-08 12:00:00
227,1486814400000,180.74174491257043,NASA_USDA_SMAP_SM20170211_20170213,2017-02-11 12:00:00
228,1487073600000,182.40199643278996,NASA_USDA_SMAP_SM20170214_20170216,2017-02-14 12:00:00
229,1487332800000,209.58168669732117,NASA_USDA_SMAP_SM20170217_20170219,2017-02-17 12:00:00
230,1487592000000,202.34622591777313,NASA_USDA_SMAP_SM20170220_20170222,2017-02-20 12:00:00
231,1487851200000,191.82518015521597,NASA_USDA_SMAP_SM20170223_20170225,2017-02-23 12:00:00
232,1488110400000,205.38728211133275,NASA_USDA_SMAP_SM20170226_20170228,2017-02-26 12:00:00
233,1488369600000,207.48645578309467,NASA_USDA_SMAP_SM20170301_20170303,2017-03-01 12:00:00
234,1488628800000,190.09700473917385,NASA_USDA_SMAP_SM20170304_20170306,2017-03-04 12:00:00
235,1488888000000,165.99152185466528,NASA_USDA_SMAP_SM20170307_20170309,2017-03-07 12:00:00
236,1489147200000,145.81662404404568,NASA_USDA_SMAP_SM20170310_20170312,2017-03-10 12:00:00
